ARIAL SDF	Fonts & Materials/ARIAL SDF		
Advisor/NavigationFailed	{[NAME]} is unable to get to where they want to be. You might need to rearrange things to unblock the route.		
Advisor/NavigationFailed_Destination	{[NAME]} is unable to get to where they want to be ({[DEST]}). You might need to rearrange things to unblock the route.		
Advisor/Patients_Cured_10	Good news, we've cured <style="AdvisorHighlight">10</style> patients in total! Each cure boosts our <style="AdvisorHighlight">Reputation</style>, which will attract even more patients to the hospital.		
Advisor/Patients_Cured_100	Good news, we've cured <style="AdvisorHighlight">100</style> patients in total! Each cure boosts our <style="AdvisorHighlight">Reputation</style>, which will attract even more patients to the hospital.		
Advisor/Patients_Cured_20	Good news, we've cured <style="AdvisorHighlight">20</style> patients in total! Each cure boosts our <style="AdvisorHighlight">Reputation</style>, which will attract even more patients to the hospital.		
Advisor/Patients_Cured_5	Good news, we've cured <style="AdvisorHighlight">5</style> patients in total! Each cure boosts our <style="AdvisorHighlight">Reputation</style>, which will attract even more patients to the hospital.		
Advisor/Patients_Cured_50	Good news, we've cured <style="AdvisorHighlight">50</style> patients in total! Each cure boosts our <style="AdvisorHighlight">Reputation</style>, which will attract even more patients to the hospital.		
Advisor/Patients_Diagnosed	Our doctors have diagnosed a patient with <style="AdvisorHighlight">{[ILLNESS]}</style>, but it requires a <style="AdvisorHighlight">{[ROOM]}</style> for treatment. You should consider building one.		
Advisor/Patients_Hungry	Some of our patients are really hungry. Consider buying vending machines or adding kiosks.		
Advisor/Patients_LowHygiene	Some of our patients are dirtier than they'd like. We should really try to keep the hospital less filthy. You could also consider adding sinks or placing sanitiser dispensers.		
Advisor/Patients_NeedAttractiveness	Some of our patients are disgusted with the state of the hospital. Think about making it a nicer environment.		
Advisor/Patients_NeedBoredom	Some of our patients are really bored. Consider providing them with some entertainment.		
Advisor/Patients_NeedGPOffice	We need a <style="AdvisorHighlight">GP's Office</style> to be able to diagnose patients.		
Advisor/Patients_NeedHappiness	Some of our patients are getting bad tempered. We should really try to make them happier.		
Advisor/Patients_NeedHealth	Some of our patients are looking a bit ropey. We need to get them seen faster.		
Advisor/Patients_NeedMoreDiagnosisRooms	Our doctors have exhausted all the forms of diagnosis available for a patient. We need to build other diagnosis rooms.		
Advisor/Patients_NeedSeating	Some of our patients are being forced to stand whilst they are waiting. I'm sure they'd appreciate somewhere to sit.		
Advisor/Patients_NeedTemperature	Some of our patients are freezing. You could consider buying more radiators.		
Advisor/Patients_NeedToilet	Some of our patients are desperate for the loo. Help them out and build more toilets.		
Advisor/Patients_NeedTooHot	Some of our patients are boiling hot. You could consider adding more air conditioning.		
Advisor/Patients_PatientDied	A patient has died in the hospital.		
Advisor/Patients_PatientDied_DiagnosisFatal	A patient is dying after a failed treatment in our <style="AdvisorHighlight">{[ROOM]}</style>. The diagnosis certainty was only <style="AdvisorHighlight">{[DIAGNOSIS]}</style>, which will have reduced the chances of success.		
Advisor/Patients_PatientDied_DiagnosisIneffective	A patient is leaving after treatment was ineffective in our <style="AdvisorHighlight">{[ROOM]}</style>. The diagnosis certainty was only <style="AdvisorHighlight">{[DIAGNOSIS]}</style>, which will have reduced the chances of success.		
Advisor/Patients_PatientDied_HealthHygiene	A patient has died due to deteriorating health. Keep an eye on hygiene levels, if they are low this can cause health to deteriorate faster.		
Advisor/Patients_PatientDied_HealthOther	A patient has died due to deteriorating health. This is bad for our reputation. Try to get people seen quicker. Keep queues short, or move unhealthy people to the front of the queue.		
Advisor/Patients_PatientDied_OtherFatal	A patient is dying after treatment failed in our <style="AdvisorHighlight">{[ROOM]}</style>. Keep improving staff and equipment to increase the chances of successfully curing people.		
Advisor/Patients_PatientDied_OtherIneffective	A patient is leaving after treatment was ineffective in our <style="AdvisorHighlight">{[ROOM]}</style>. Keep improving staff and equipment to increase the chances of successfully curing people.		
Advisor/Patients_PatientDied_StaffSkillFatal	A patient is dying after a failed treatment in our <style="AdvisorHighlight">{[ROOM]}</style>. Maybe <style="AdvisorHighlight">{[STAFF]}</style> needs more training to increase their treatment skill?		
Advisor/Patients_PatientDied_StaffSkillIneffective	A patient is leaving after treatment was ineffective in our <style="AdvisorHighlight">{[ROOM]}</style>. Maybe <style="AdvisorHighlight">{[STAFF]}</style> needs more training to increase their treatment skill?		
Advisor/Patients_PatientDied_UpgradeFatal	A patient is dying after a failed treatment in our <style="AdvisorHighlight">{[ROOM]}</style>. Maybe our <style="AdvisorHighlight">{[MACHINE]}</style> could be upgraded to make it more effective?		
Advisor/Patients_PatientDied_UpgradeIneffective	A patient is leaving after treatment was ineffective in our <style="AdvisorHighlight">{[ROOM]}</style>. Maybe our <style="AdvisorHighlight">{[MACHINE]}</style> could be upgraded to make it more effective?		
Advisor/Patients_RageQuit	A patient has had enough of the way you are running the hospital and has stormed out.		
Advisor/Patients_RageQuit_FurtherDiagnosis	A patient has given up waiting for <style="AdvisorHighlight">new diagnosis rooms</style>, and is storming out. This will be bad for our reputation.		
Advisor/Patients_RageQuit_NoComplaints	waiting too long		
Advisor/Patients_RageQuit_Unhappy	A patient is unhappy with the hospital and is storming out. Their top complaints include: <style="AdvisorHighlight">{[COMPLAINTS]}</style>. They were in the hospital for <style="AdvisorHighlight">{[DAYS]} days</style>.		
Advisor/Patients_RageQuit_Waiting	A patient has given up waiting for a <style="AdvisorHighlight">{[ROOM]}</style>, and is storming out. This will be bad for our reputation.		
Advisor/Patients_Thirsty	Some of our patients are thirsty. You could consider buying some vending machines or adding kiosks.		
Advisor/ReceptionNeeded	We need a <style="AdvisorHighlight">Reception</style> so that visitors can check in.		
Advisor/Remix_One_Available	<style="AdvisorHighlight">Hogsport</style>, <style="AdvisorHighlight">Lower Bullocks</style> and <style="AdvisorHighlight">Flottering</style> are now available in <style="AdvisorHighlight">R.E.M.I. X</style>!		
Advisor/Remix_Two_Available	<style="AdvisorHighlight">Mitton University</style>, <style="AdvisorHighlight">Tumble</style> and <style="AdvisorHighlight">Flemington</style> are now available in <style="AdvisorHighlight">R.E.M.I. X</style>!		
Advisor/Reputation_Good	<style="AdvisorHighlight">Hospital Reputation</style> is now <style="AdvisorHighlight">Good</style>. This will attract even more patients and staff.		
Advisor/Reputation_Great	<style="AdvisorHighlight">Hospital Reputation</style> is now <style="AdvisorHighlight">Great</style>. This will attract even more patients and staff.		
Advisor/ResearchProjectComplete_CS	Research Project Completed: <style="AdvisorHighlight">{[PROJECT]}</style>\nOutput: <style="AdvisorHighlight">{[REWARDS]}</style>		
Advisor/Research_DiagnosisRooms	Researching new diagnosis machines and upgrades will help us diagnose patients faster. This will help to reduce queue sizes and waiting times, which should improve cure rates.		
Advisor/RoomMissingRequiredItem	Our <style="AdvisorHighlight">{[ROOM]}</style> is missing a <style="AdvisorHighlight">{[ITEM]}</style>. It won't function without one.		
Advisor/Room_TooSmall	The room is not big enough for the required items yet. Extend the room to meet the minimum size requirements.		
Advisor/SandboxFreeplay_Unlocked	<style="AdvisorHighlight">Sandbox: Freeplay</style> unlocked! Create hospitals with your own custom settings. Access sandbox mode from the main menu.		
Advisor/Social_FriendHigherScore	A rival hospital owned by {0} has {1} of {2}. Ours is currently only {3}.		
Advisor/Social_FriendLowerScore	Our hospital has {1} of {3}. That is way better than {0}'s hospital, which is only {2}!		
Advisor/Social_LeaderboardBoast	Advisor_Social_LeaderboardBoast		
Advisor/Social_LeaderboardBoast_TopFriend	We've just taken a look at our {1}. Apparently {0}, our online rival has the highest score {2}. Our score is only {3}. We should be more like them.		{0} is our friend's name, unfortunately we cannot know the gender. {1} is the name of the leaderboard ("Cures Per Year" for example. {2} and {3} are scores.
Advisor/Social_LeaderboardBoast_TopPlayer	This is great! Compared to our online rivals, our hospital has the highest {0} with a score of {1}!		
Advisor/Staff_HireMoreAssistants	A lot of patients are queueing for services run by Assistants, but there aren't any available. Consider hiring more assistants.		
Advisor/Staff_HireMoreDoctors	A lot of patients are queueing outside rooms that are run by Doctors, but there aren't any available. Consider hiring more doctors.		
Advisor/Staff_HireMoreNurses	A lot of patients are queueing outside rooms that are run by Nurses, but there aren't any available. Consider hiring more nurses.		
Advisor/Staff_LowMorale	Our staff have quite low morale. You could consider paying them more or letting them go on more breaks.		
Advisor/Staff_NeedQualification	We have a <style="AdvisorHighlight">{[ROOM]}</style> room but we don't have a <style="AdvisorHighlight">{[STAFF]}</style> with the <style="AdvisorHighlight">{[QUALIFICATION]}</style> qualification.		
Advisor/Staff_NeedStaffRoom	Our staff are getting tired, but they don't have a staff room to go to.		
Advisor/Staff_PayDissatisfaction	Some of our staff are unsatisfied with their pay, you should consider giving them a raise. Take a look at Pay Review in our Staff list.		
Advisor/Staff_Promoted_CS	<style="AdvisorHighlight">{[NAME]}</style> has been promoted from <style="AdvisorHighlight">{[OLDTITLE]}</style> to <style="AdvisorHighlight">{[NEWTITLE]}</style>		
Advisor/Staff_ReadyForPromotion	Quite a few of our staff are ready for promotion. Make sure you pay them some attention or they will feel ignored.		
Advisor/Staff_ReadyForTraining	Quite a few of our staff have free training slots. Maximise their potential by training them up in a Training Room.		
Advisor/Staff_ReadyForTrainingNoRoom	Quite a few of our staff have free training slots. You need to build a Training Room to maximise their potential!		
Advisor/Staff_Resignation_CS	<style="AdvisorHighlight">{[STAFF]}</style> is very unhappy and threatening to leave. Their top complaints include: <style="AdvisorHighlight">{[COMPLAINTS]}</style>.		
Advisor/Staff_Resigned_CS	<style="AdvisorHighlight">{[STAFF]}</style> has resigned! Their top complaints include: <style="AdvisorHighlight">{[COMPLAINTS]}</style>. We need to keep the rest of our staff happy.		
Advisor/Staff_RoomNeedsStaff	Our <style="AdvisorHighlight">{[ROOM]}</style> needs a <style="AdvisorHighlight">{[STAFF]}</style>. Go to the Hire menu to get one.		
Advisor/Staff_TooManyAssistants	We might have too many assistants, several are currently idle.		
Advisor/Staff_TooManyDoctors	We might have too many doctors, several are currently idle.		
Advisor/Staff_TooManyJanitors	We might have too many janitors, several are currently idle.		
Advisor/Staff_TooManyNurses	We might have too many nurses, several are currently idle.		
Advisor/Temperature_Cold	This part of the county is quite cold. We'll need to put down some radiators to keep people warm.		
Advisor/Temperature_Hot	This part of the county is quite hot. We'll need to put down some air-conditioning units to keep people comfortable.		
Advisor/Tips_FireSafety	Did You Know: If a machine isn't maintained properly, it can catch fire. A Janitor will then have to find a fire extinguisher to put out the fire, otherwise the machine may explode!		
Advisor/Tips_HospitalAttractiveness	Did You Know: You can make the hospital more attractive by placing plants and decorative items. This helps keep staff and patients happy.		
Advisor/Tips_HospitalHygiene	Did You Know: If hygiene levels are low, the health of patients will deteriorate faster. Keep the hospital as clean as possible, make sure toilets have sinks, and place hand sanitiser dispensers.		
Advisor/Tips_HospitalPolicy	Did You Know: You can adjust hospital policy in the overview screen. Set diagnosis and treatment policy, and staff guidelines, to run the hospital your way.		
Advisor/Tips_IllnessList	Did You Know: You can view a list of discovered illnesses in the characters tab, in the bottom left. Use this to check cure rates and reputation with each illness.		
Advisor/Tips_Item_Copy	Did You Know: You can create a copy of an item by holding the Left Control key and clicking on an item in the hospital.		
Advisor/Tips_Item_FreePlacement	Did You Know: When holding an item, you can freely place it at any angle and position by holding the {[Menu/InputActions/DisableSnap]} key.		
Advisor/Tips_Item_PickUp	Did You Know: You can pick up an item by hovering over it and holding down the Left Mouse Button. Or click-and-drag to quickly pick it up.		
Advisor/Tips_Item_Rotate	Did You Know: You can rotate a held item by holding down the Left Mouse Button and dragging left/right. Or use the {[Menu/InputActions/RotateItemClockwise]} and {[Menu/InputActions/RotateItemAntiClockwise]} keys.		
Advisor/Tips_ItemsList_Filters	Did You Know: In the items list, you can view items by category using the 'Filter' button at the top of the menu.		
Advisor/Tips_Kudosh	Did You Know: Earn Kudosh for our organisation by increasing the Star ratings of our hospitals, and completing other challenges. Use it to unlock new items.		
Advisor/Tips_Loans	Did You Know: You can take out loans in the finance tab, if you need some extra cash.		
Advisor/Tips_MapHospitalTravel	Did You Know: You can return to any hospital within our organisation using the map. All of the rooms and items we've unlocked will be available.		
Advisor/Tips_MultiplayerChallenges	Did You Know: We can compete with other hospitals in the area, and earn more rewards, by taking part in <style="AdvisorHighlight">Organisation Challenges</style>. View available challenges by clicking on the tab in the top-right.		
Advisor/Tips_Needs_Boredom	Did You Know: Patients become bored over time. Place interesting items around waiting areas to keep them entertained and happy.		
Advisor/Tips_Needs_Hunger	Did You Know: Patients and staff become hungry over time. Provide snacks around the hospital to keep them happy.		
Advisor/Tips_Needs_Thirst	Did You Know: Patients and staff become thirsty over time. Provide drinks around the hospital to keep them happy.		
Advisor/Tips_Needs_Toilet	Did You Know: Patients and staff will want access to toilets, especially after eating or drinking. Ensure we have enough toilets to avoid accidents…		
Advisor/Tips_OverviewScreen	Did You Know: You can access the hospital overview screen in the finance tab. Use this to analyse the hospital finances, staff, patients, awards and more.		
Advisor/Tips_PatientList	Did You Know: You can view a list of all patients in the characters tab. Use the patient list to monitor their diagnosis, treatment, happiness and health.		
Advisor/Tips_PlotBuying	Did You Know: We can construct new hospital buildings to give us more space to expand. Hover over plots of land nearby to see what's for sale.		
Advisor/Tips_PriceList	Did You Know: You can adjust the prices we charge in the finance tab. Increase or reduce prices for diagnosis, treatment, and other revenue sources.		
Advisor/Tips_QueueManagement	Did You Know: You can move a patient up or down the queue for a room using the patient info panel, or the queue tab in the room info panel. Prioritise patients based on health, happiness, or potential income.		
Advisor/Tips_Queues	Did You Know: Hover over a room to see the people queueing for it - each person's queue position appears above them. Keep an eye out for long queues.		
Advisor/Tips_RoomPrestige	Did You Know: Build larger rooms and fill them with interesting items to increase their prestige. Staff working there will be happier, and patients visiting will become happier too.		
Advisor/Tips_Room_AddItems	Did You Know: You can access the items list for an existing room by clicking on the floor of the room, then clicking the Items button.		
Advisor/Tips_Room_AddSub	Did You Know: When building a room, click the Right Mouse Button to cycle between building tools and required items.		
Advisor/Tips_Room_Copy	Did You Know: You can create a copy of a room and all of its contents by clicking on the room and selecting the 'Copy' option.		
Advisor/Tips_Room_Customisation	Did You Know: You can customise a room's walls and floor by clicking on the room and selecting the 'Customise' option in the room info panel.		
Advisor/Tips_Room_Edit	Did You Know: You can edit a room by clicking on the floor of the room, then select the Edit button. This will temporarily close the room.		
Advisor/Tips_Room_MoveRotate	Did You Know: When building a room, you can pick it up by clicking on the floor of the room. You can then move, rotate and place it like an item.		
Advisor/Tips_StaffList	Did You Know: You can view a list of all staff in the characters tab. Use the staff list to monitor staff, review their pay, and control the jobs they do.		
Advisor/Tips_Staff_BreakPolicy	Did You Know: You can adjust the break policy for each staff type in the overview screen. Set how many staff of each type can take a break at the same time, and the break duration.		
Advisor/Tips_Staff_Breaks	Did You Know: Staff will go on a break when their energy is low, as long as there aren't too many staff of that type already on a break.		
Advisor/Tips_Staff_Customisation	Did You Know: You can customise a staff member's outfit by selecting them and clicking on the 'Staff Customisation' button in the staff info panel.		
Advisor/Tips_Staff_PickUp	Did You Know: You can pick up a member of staff by hovering over them and holding the Left Mouse Button. Or click-and-drag to quickly pick them up.		
Advisor/Tips_UGC_Create	Did You Know: You can design your own pictures, rugs, walls and floors by clicking on the workshop button in the items list and the room customisation menu.		
Advisor/Tips_UpgradeMachines	Did You Know: Upgrading machines makes them more effective. Once we have an upgrade unlocked, we can select to upgrade a machine. We'll need a Janitor trained in Mechanics to carry out the work.		
Advisor/Tips_VisualisationModes	Did You Know: You can use the visualisation tab to view the hospital based on environmental factors, happiness, health, energy, needs, maintenance, and more.		
Advisor/TrainingCourseComplete_CS	Training Course Complete: <style="AdvisorHighlight">{[QUALIFICATION]}</style>		
Challenges/AlienRevealedInspectorStamp	ALIEN		
Challenges/ArrivingInDays_CS	Arriving in {0} days…[i2p_Zero]Arriving today…[i2p_One]Arriving tomorrow…		
Challenges/BarbershopQuartet_AdvisorMessage	They're here!!!		
Challenges/BarbershopQuartet_FailMessage	Sadly we didn't cure enough of the barbershop quartet.		
Challenges/BarbershopQuartet_FailTitle	Special Report		
Challenges/BarbershopQuartet_NotificationMessage	A local barbershop quartet called The Four Freddies need our help. They've offered a generous reward. Shall we accept?		
Challenges/BarbershopQuartet_NotificationTitle	Barbershop Quartet		
Challenges/BarbershopQuartet_SuccessMessage	Well done, the barbershop quartet are on the road to recovery. They have a generous donation for us.		
Challenges/BarbershopQuartet_SuccessTitle	Special Report		
Challenges/Budget_AdvisorMessage_CS	Bonus Update: We cured <style="AdvisorHighlight">{[CURED]}</style> of <style="AdvisorHighlight">{[PROCESSED]}</style> guests during the last evaluation period. The hotel will now cover <style="AdvisorHighlight">{[PERCENT]}</style> of our total running costs for the next 3 months.		
Challenges/Budget_ObjectiveMenuCureRate_CS	Cure Rate: {[RATE]}		
Challenges/Budget_ObjectiveMenuItem_CS	Running Costs Covered: {[PERCENT]}\nNext Evaluation Period Begins: {[MONTH]}		
Challenges/CelebrityVisit_AdvisorMessage	Popstar Jasmine Odyssey is arriving at the hospital.		
Challenges/CelebrityVisit_NotificationMessage	We've been contacted by the agent of a local celebrity who is interested in visiting the hospital. Her name is Jasmine "Jazz" Odyssey. She's a pop star or something like that. God knows. Apparently the kids view her as some kind of musical deity. Could give us some good publicity. Shall we accept the visit?		
Challenges/CelebrityVisit_NotificationTitle	Celebrity Visit		
Challenges/CelebrityVisit_RewardFailMessage	Unfortunately it looks like Jasmine Odyssey wasn't a big fan of the hospital. She's just released her new song, "Hospital Atrocity Exhibition". It's got one of those explicit lyrics stickers on the front. This is not a good sign.		
Challenges/CelebrityVisit_RewardFailTitle	Publicity Update		
Challenges/CelebrityVisit_RewardPassMessage	It appears that our hospital didn't make much of an impression on Jasmine Odyssey. She hasn't posted anything on ChatFace, nothing on Growler either. In her live stream on Fumble she's currently staring at a biscuit. I guess we need to try harder next time.		
Challenges/CelebrityVisit_RewardPassTitle	Publicity Update		
Challenges/CelebrityVisit_RewardSuccessMessage	Jasmine Odyssey has just posted a photo of the hospital on Bungle (I don't know what that is, but apparently the youngsters love it). It's a selfie taken outside the main entrance. She's doing one of those pouty faces and holding a biscuit. I guess that's a good sign. The photo has received 300 Bear Love, whatever that means. She must have enjoyed her visit. Good work everyone.		
Challenges/CelebrityVisit_RewardSuccessTitle	Publicity Update		
Challenges/CelebrityVisit_RewardSuperbMessage	Good news. Jasmine Odyssey has just released a new song, "Ultimate Rainbow Hospital Unicorn Jazz Biscuits". We think this is a good sign, but honestly the lyrics are gibberish to me. She's kindly offered to donate some money to the hospital too!		
Challenges/CelebrityVisit_RewardSuperbTitle	Publicity Update		
Challenges/CircusIncident_AdvisorMessage	Clowns are arriving…		
Challenges/CircusIncident_NotificationMessage	The Two Point Circus left their cages unlocked and all of the clowns have escaped. They were last spotted heading in our direction on tiny bicycles. If we can deal with the clowns I'm sure the circus will reward us. Shall we let them in?		
Challenges/CircusIncident_NotificationTitle	Circus Incident		
Challenges/CircusIncident_RewardFailMessage	Sadly we didn't cure enough of the clowns.		
Challenges/CircusIncident_RewardFailTitle	Special Report		
Challenges/CircusIncident_RewardPerfectMessage	Good job, we cured all the clowns. The circus is very pleased with us.		
Challenges/CircusIncident_RewardSuccessMessage	Good job, we cured most of the clowns. The circus is very pleased.		
Challenges/CircusIncident_RewardSuccessTitle	Special Report		
Challenges/DLC/VIP_Bigfoot_Name	Bartholomew F. Yeti		
Challenges/DLC_1/BudgetChallenge_R6_InjuriesHospital_AdvisorMessage	We've begun a new budget evaluation period.		
Challenges/DLC_1/BudgetChallenge_R6_InjuriesHospital_Name	Performance Bonus		
Challenges/DLC_1/Earthquake_Avalanche_AdvisorMessage	Disaster Warning: There are reports of an avalanche in the area.		
Challenges/DLC_1/Earthquake_Avalanche_Name	Avalanche		
Challenges/DLC_1/Earthquake_Avalanche_NotificationMessage	Warning, an avalanche has been detected in the area! This could damage our machinery.		
Challenges/DLC_1/Earthquake_Hailstorm_AdvisorMessage	Disaster Warning: There are reports of hailstorms in the area.		
Challenges/DLC_1/Earthquake_Hailstorm_Name	Hailstorm		
Challenges/DLC_1/Earthquake_Hailstorm_NotificationMessage	Warning, hailstorms have been detected in the area! This could damage our machinery.		
Challenges/DLC_1/GhostInvulnerable_AdvisorMessage	Supernatural Warning: The Ghost of Sir Tucker has decided to visit/haunt the hospital.		
Challenges/DLC_1/GhostInvulnerable_Name	Sir Tucker		
