ARIAL SDF	Fonts & Materials/ARIAL SDF
Advisor/Finance_RefusedToPay_Item_CS	환자가 <style="AdvisorHighlight">{[ITEM]}</style>에 대해 <style="AdvisorHighlight">{[PRICE]}</style>지불을 거부했습니다. 가격이 너무 높을까요?
Advisor/Finance_RefusedToPay_Treatment_CS	환자가 <style="AdvisorHighlight">에서 <style="AdvisorHighlight">{[ILLNESS]}</style>치료에 대해 <style="AdvisorHighlight">{[PRICE]}</style>지불을 거부했습니다. {[ROOM]}</style>. 가격이 너무 높을까요?
Advisor/General_LowHygiene	병원의 위생 수준이 불쾌하게 낮아지고 있습니다. 싱크대를 추가하거나 소독제 디스펜서를 배치하는 것을 고려할 수 있습니다.
Advisor/General_LowReputation	병원의 평판이 나빠지기 시작했습니다.
Advisor/General_LowReputation_Medical	병원을 방문하는 환자를 더 많이 치료하면 병원 평판이 향상될 것입니다.
Advisor/General_LowReputation_Patient	환자를 더 행복하게 유지하면 병원 평판을 높이는 데 도움이 됩니다.
Advisor/General_LowReputation_Prices	가격을 조금 낮추면 병원 평판을 높이는 데 도움이 됩니다.
Advisor/General_LowReputation_Special	더 나은 홍보를 하면 병원 평판을 높이는 데 도움이될 것입니다. VIP에게 깊은 인상을 주거나 마케팅을 해보십시오.
Advisor/General_LowReputation_Staff	직원을 더 행복하게 만들면 병원 평판을 높이는 데 도움이될 것입니다.
Advisor/General_NeedMoreCardiologyRooms	순환기내과 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreChromatherapyRooms	크로마테라피 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreClownClinicRooms	광대 클리닉 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreCryptologyRooms	Cryptology 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreDNALabRooms	DNA 연구소 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreDeLuxClinicRooms	De-Lux Clinic 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreFluidAnalysisRooms	Fluid Analysis 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreFractureWardRooms	Fracture Ward 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreGPRooms	문진실 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreGeneralDiagnosisRooms	일반 진단실 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreHeadOfficeRooms	본사 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreInectionRooms	주사실 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreMEGAScanRooms	MEGA Scan 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMorePansLabRooms	후라이팬 연구소 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMorePestControlRooms	해충 구제 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMorePharmacyRooms	약국 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMorePsychiatryRooms	정신과 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreRecurveryRooms	Recurvery Room 밖에 대기열이 있습니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreResolutionLabRooms	해상도 연구소 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreShockClinicRooms	충격 클리닉 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreSurgeryRooms	수술 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreWardRooms	입원실 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/General_NeedMoreXRayRooms	X-Ray 밖까지 줄이 깁니다. 하나 더 만드시는 건 어떨까요?
Advisor/HospitalLevel_Increase	축하합니다. <style="AdvisorHighlight">병원 레벨</style>이 올랐습니다.\n더 많은 환자와 직원을 유치하기 위해 계속 확장하세요.
Advisor/Item_Unlocked_CS	<style="AdvisorHighlight">{[UNLOCK]}</style>이 잠금 해제되었습니다!
Advisor/Maintenance_BlockedToilets	병원에는 막힌 화장실이 많아서 오히려 비위생적이되고 있습니다. 관리인을 더 고용할 수 있습니다.
Advisor/Maintenance_BlockedToiletsNoJanitor	병원에는 막힌 화장실이 많이 있습니다. 고용 메뉴에서 관리인을 고용하면 그들이 처리 해줄 것입니다.
Advisor/Maintenance_BrokenMachine	{[ITEM]}에 유지 관리가 필요합니다. 관리인이 화재 위험이되지 않도록 수리를 수행하도록 요청됩니다.
Advisor/Maintenance_BrokenMachineNoJanitors	{[ITEM]}에 유지 관리가 필요합니다. 수리를 수행하려면 고용 메뉴에서 관리인을 고용하십시오.
Advisor/Maintenance_LotsOfLitter	병원 주변에 쓰레기가 많습니다. 더 많은 저장소를 배치하는 것을 고려해야 합니다.
Advisor/Maintenance_LotsOfLitterNoJanitor	병원 주변에 쓰레기가 많습니다. 쓰레기통을 더 많이 배치하고 청소 메뉴에서 관리인을 고용하여 깨끗하게 유지하는 것을 고려해야 합니다.
Advisor/Maintenance_MachineUpgrade	<style="AdvisorHighlight">{[MACHINE]}</style>를 업그레이드하여 더 효과적으로 만들 수 있습니다. 도구를 선택하고 업그레이드를 선택하면 {[QUALIFICATION]}에서 교육을 받은 관리인이 업그레이드를 적용할 수 있습니다.
Advisor/Maintenance_MedicalWaste	바닥에 '의료 폐기물'이 많이 있습니다. 일부 환자는 불만을 제기했습니다. 청소를 위해 더 많은 관리인이 필요할 수 있습니다.
Advisor/Maintenance_MedicalWasteNoJanitors	바닥에 '의료 폐기물'이 많이 있습니다. 일부 환자는 불만을 제기했습니다. 청소를 위해 고용 메뉴에서 관리인을 고용해야할 수도 있습니다.
Advisor/Maintenance_OutOfStock	일부 자판기는 재고가 없습니다. 관리인을 더 고용하여 잘 보관할 수 있습니다.
Advisor/Maintenance_OutOfStockNoJanitors	일부 자판기는 재고가 없습니다. 고용 메뉴에서 관리인을 고용하여 처리할 수 있습니다.
Advisor/Maintenance_Plants	꽤 많은 식물이 시들어 환자를 비참하게 만듭니다. 더 많은 관리인을 고용하여 물을 유지하십시오.
Advisor/Maintenance_PlantsNoJanitors	꽤 많은 식물이 절뚝 거려서 환자를 비참하게 만듭니다. 고용 메뉴에서 관리인을 고용하여 물을 계속받을 수 있습니다.
Advisor/MarketingCampaignComplete_CS	완료된 마케팅 캠페인 : <style="AdvisorHighlight">{[CAMPAIGN]}</style>
Advisor/NavigationFailed	{[NAME]} 님이 원하는 곳으로 이동할 수 없습니다. 경로 차단을 해제하려면 항목을 재정렬해야할 수 있습니다.
Advisor/NavigationFailed_Destination	{[NAME]}이 원하는 위치 ({[DEST]})로 이동할 수 없습니다. 경로 차단을 해제하려면 항목을 재정렬해야할 수 있습니다.
Advisor/Patients_Cured_10	좋은 소식입니다. 총 <style="AdvisorHighlight">10</style>명의 환자를 치료했습니다. 각 치료법은 <style="AdvisorHighlight">평판</style>을 높여 더 많은 환자를 병원으로 유치할 것입니다.
Advisor/Patients_Cured_100	좋은 소식입니다. 총 <style="AdvisorHighlight">100</style>명의 환자를 치료했습니다! 각 치료법은 <style="AdvisorHighlight">평판</style>을 높여 더 많은 환자를 병원으로 유치할 것입니다.
Advisor/Patients_Cured_20	좋은 소식입니다. 총 <style="AdvisorHighlight">20</style>명의 환자를 치료했습니다. 각 치료법은 <style="AdvisorHighlight">평판</style>을 높여 더 많은 환자를 병원으로 유치할 것입니다.
Advisor/Patients_Cured_5	좋은 소식입니다. 총 <style="AdvisorHighlight">5</style>명의 환자를 치료했습니다. 각 치료법은 <style="AdvisorHighlight">평판</style>을 높여 더 많은 환자를 병원으로 유치할 것입니다.
Advisor/Patients_Cured_50	좋은 소식입니다. 총 <style="AdvisorHighlight">50</style>환자를 치료했습니다. 각 치료법은 <style="AdvisorHighlight">평판</style>을 높여 더 많은 환자를 병원으로 유치할 것입니다.
Advisor/Patients_Diagnosed	의사가 <style="AdvisorHighlight">{[ILLNESS]}</style>로 환자를 진단했지만 치료를 위해서는 <style="AdvisorHighlight">{[ROOM]}</style>가 필요합니다. 하나를 만드는 것을 고려해야 합니다.
Advisor/Patients_Hungry	우리 환자 중 일부는 정말 배고프다. 자판기 구입이나 키오스크 추가를 고려하십시오.
Advisor/Patients_LowHygiene	우리 환자 중 일부는 원하는 것보다 더럽습니다. 우리는 정말로 병원을 덜 더럽게 유지하려고 노력해야 합니다. 싱크대를 추가하거나 소독제 디스펜서를 배치하는 것도 고려할 수 있습니다.
Advisor/Patients_NeedAttractiveness	우리 환자 중 일부는 병원 상태에 혐오감을 느낍니다. 더 좋은 환경을 만드는 것에 대해 생각하십시오.
Advisor/Patients_NeedBoredom	우리 환자 중 일부는 정말 지루합니다. 그들에게 약간의 오락을 제공하는 것을 고려하십시오.
Advisor/Patients_NeedGPOffice	환자를 진단하려면 <style="AdvisorHighlight">문진실</style>이 필요합니다.
Advisor/Patients_NeedHappiness	우리 환자 중 일부는 성질이 나 빠지고 있습니다. 우리는 그들을 더 행복하게해주어야합니다.
Advisor/Patients_NeedHealth	우리 환자 중 일부는 약간 밧줄처럼 보입니다. 우리는 그들을 더 빨리 볼 필요가 있습니다.
Advisor/Patients_NeedMoreDiagnosisRooms	우리 의사들은 환자가 이용할 수 있는 모든 형태의 진단을 다했습니다. 다른 진단실을 만들어야합니다.
Advisor/Patients_NeedSeating	환자 중 일부는 기다리는 동안 강제로 서 있습니다. 나는 그들이 앉을 곳을 고맙게 생각할 것이라고 확신합니다.
Advisor/Patients_NeedTemperature	우리 환자 중 일부는 얼어 있습니다. 더 많은 라디에이터 구입을 고려할 수 있습니다.
Advisor/Patients_NeedToilet	우리 환자 중 일부는 화장실이 필사적입니다. 그들을 도와 더 많은 화장실을 지으십시오.
Advisor/Patients_NeedTooHot	우리 환자 중 일부는 끓고 있습니다. 더 많은 에어컨 추가를 고려할 수 있습니다.
Advisor/Patients_PatientDied	환자가 병원에서 사망했습니다.
Advisor/Patients_PatientDied_DiagnosisFatal	<style="AdvisorHighlight">{[ROOM]}</style>에서 치료 실패 후 환자가 사망했습니다. 진단의 확실성은 <style="AdvisorHighlight">{[DIAGNOSIS]}</style>에 불과하여 성공 가능성을 줄였습니다.
Advisor/Patients_PatientDied_DiagnosisIneffective	<style="AdvisorHighlight">{[ROOM]}</style>에서 치료가 효과가 없었던 환자가 퇴원했습니다. 진단의 확실성은 <style="AdvisorHighlight">{[DIAGNOSIS]}</style>에 불과하여 성공 가능성을 줄였습니다.
Advisor/Patients_PatientDied_HealthHygiene	환자가 건강 악화로 사망했습니다. 위생 수준이 낮으면 건강이 더 빨리 악화될 수 있습니다.
Advisor/Patients_PatientDied_HealthOther	환자가 건강 악화로 사망했습니다. 이것은 우리의 평판에 좋지 않습니다. 사람들을 더 빨리 볼 수 있도록 노력하십시오. 대기열을 짧게 유지하거나 건강에 해로운 사람들을 대기열의 맨 앞으로 이동하십시오.
Advisor/Patients_PatientDied_OtherFatal	<style="AdvisorHighlight">{[ROOM]}</style>에서 치료가 실패한 후 환자가 사망했습니다. 사람들을 성공적으로 치료할 가능성을 높이기 위해 직원과 장비를 계속 개선하십시오.
Advisor/Patients_PatientDied_OtherIneffective	<style="AdvisorHighlight">{[ROOM]}</style>에서 치료가 효과가 없었던 환자가 퇴원했습니다. 사람들을 성공적으로 치료할 가능성을 높이기 위해 직원과 장비를 계속 개선하십시오.
Advisor/Patients_PatientDied_StaffSkillFatal	<style="AdvisorHighlight">{[ROOM]}</style>에서 치료 실패 후 환자가 사망했습니다. <style="AdvisorHighlight">{[STAFF]}</style>가 치료 기술을 향상시키기 위해 더 많은 교육이 필요합니까?
Advisor/Patients_PatientDied_StaffSkillIneffective	<style="AdvisorHighlight">{[ROOM]}</style>에서 치료가 효과가 없었던 환자가 퇴원했습니다. <style="AdvisorHighlight">{[STAFF]}</style>가 치료 기술을 향상시키기 위해 더 많은 교육이 필요합니까?
Advisor/Patients_PatientDied_UpgradeFatal	<style="AdvisorHighlight">{[ROOM]}</style>에서 치료 실패 후 환자가 사망했습니다. <style="AdvisorHighlight">{[MACHINE]}</style>를 업그레이드하여 더 효과적으로 만들 수 있을까요?
Advisor/Patients_PatientDied_UpgradeIneffective	<style="AdvisorHighlight">{[ROOM]}</style>에서 치료가 효과가 없었던 환자가 퇴원했습니다. <style="AdvisorHighlight">{[MACHINE]}</style>를 업그레이드하여 더 효과적으로 만들 수 있을까요?
Advisor/Patients_RageQuit	환자는 당신이 병원을 운영하는 데 충분한 방법을 가지고 있었고 습격했습니다.
Advisor/Patients_RageQuit_FurtherDiagnosis	한 환자가 <style="AdvisorHighlight">새 문진실</style>을 기다리는 것을 포기하고 뛰쳐나갔습니다. 이것은 우리의 평판에 좋지 않을 것입니다.
Advisor/Patients_RageQuit_NoComplaints	너무 오래 기다림
Advisor/Patients_RageQuit_Unhappy	한 환자가 병원에 만족하지 못하고 뛰쳐나갔습니다. 주요 불만 사항은 다음과 같습니다. <style="AdvisorHighlight">{[COMPLAINTS]}</style>. <style="AdvisorHighlight">{[DAYS]} 일</style>동안 병원에있었습니다.
Advisor/Patients_RageQuit_Waiting	환자가 <style="AdvisorHighlight">{[ROOM]}</style>를 기다리는 것을 포기하고 뛰쳐나갔습니다. 이것은 우리의 평판에 좋지 않을 것입니다.
Advisor/Patients_Thirsty	우리 환자 중 일부는 목이 마릅니다. 자판기 구입이나 키오스크 추가를 고려할 수 있습니다.
Advisor/ReceptionNeeded	방문자가 접수할 수 있도록 <style="AdvisorHighlight">접수처</style>가 필요합니다.
Advisor/Remix_One_Available	<style="AdvisorHighlight">호구스포츠</style>, <style="AdvisorHighlight">Lower Bullocks</style>및 <style="AdvisorHighlight">플로팅</style>은 이제 <style="AdvisorHighlight">에서 사용할 수 있습니다. R.E.M.I. X</style>!
Advisor/Remix_Two_Available	<style="AdvisorHighlight">미튼 대학교</style>, <style="AdvisorHighlight">Tumble</style>및 <style="AdvisorHighlight">플레밍턴</style>을 이제 <style="AdvisorHighlight">에서 사용할 수 있습니다. R.E.M.I. X</style>!
Advisor/Reputation_Good	<style="AdvisorHighlight">병원 평판</style>은 이제 <style="AdvisorHighlight">좋은</style>입니다. 이것은 더 많은 환자와 직원을 끌어들일 것입니다.
Advisor/Reputation_Great	<style="AdvisorHighlight">병원 평판</style>이 이제 <style="AdvisorHighlight">훌륭한</style>입니다. 이것은 더 많은 환자와 직원을 끌어들일 것입니다.
Advisor/ResearchProjectComplete_CS	완료된 연구 프로젝트 : <style="AdvisorHighlight">{[PROJECT]}</style>\n출력 : <style="AdvisorHighlight">{[REWARDS]}</style>
Advisor/Research_DiagnosisRooms	새로운 진단 장비를 연구하고 업그레이드하면 환자를 더 빨리 진단할 수 있습니다. 이렇게하면 대기열 크기와 대기 시간을 줄이는 데 도움이되며 치료율이 향상됩니다.
Advisor/RoomMissingRequiredItem	<style="AdvisorHighlight">{[ROOM]}</style>에 <style="AdvisorHighlight">{[ITEM]}</style>이 없습니다. 하나 없이는 작동하지 않습니다.
Advisor/Room_TooSmall	시설은 아직 필요한 항목을 담기에 충분하지 않습니다. 최소 크기 요구 사항을 충족하도록 공간을 확장합니다.
Advisor/SandboxFreeplay_Unlocked	<style="AdvisorHighlight">샌드박스 : 프리 플레이</style>잠금 해제! 나만의 맞춤 설정으로 병원을 만드세요. 기본 메뉴에서 샌드박스 모드에 액세스합니다.
Advisor/Social_FriendHigherScore	{0} 소유의 경쟁 병원은 {2} 중 {1}개를 보유했습니다. 우리는 {3}입니다.
Advisor/Social_FriendLowerScore	우리 병원은 {1}/{3}입니다. {2}에 불과한 {0}의 병원보다 훨씬 낫습니다!
Advisor/Social_LeaderboardBoast	Advisor_Social_LeaderboardBoast
Advisor/Social_LeaderboardBoast_TopFriend	{1}를 방금 살펴 보았습니다. 분명히 {0}, 우리의 온라인 라이벌이 가장 높은 점수를 받았습니다 {2}. 우리의 점수는 {3}입니다. 우리는 그들과 더 비슷해야 합니다.
Advisor/Social_LeaderboardBoast_TopPlayer	대단합니다! 온라인 라이벌에 비해 저희 병원은 {1} 점으로 가장 높은 {0} 점을 기록했습니다!
Advisor/Staff_HireMoreAssistants	많은 환자가 사무원이 운영하는 서비스를 위해 대기하고 있지만 사용할 수 있는 서비스가 없습니다. 더 많은 비서 고용을 고려하십시오.
Advisor/Staff_HireMoreDoctors	많은 환자가 의사가 운영하는 시설 밖에서 대기하고 있지만 사용할 수 있는 시설이 없습니다. 더 많은 의사를 고용하십시오.
Advisor/Staff_HireMoreNurses	많은 환자가 간호사가 운영하는 시설 밖에서 대기하고 있지만 사용할 수 있는 시설이 없습니다. 더 많은 간호사를 고용하십시오.
Advisor/Staff_LowMorale	우리 직원들은 사기가 매우 낮습니다. 그들에게 더 많은 돈을 지불하거나 더 많은 휴식을 취하도록할 수 있습니다.
Advisor/Staff_NeedQualification	<style="AdvisorHighlight">{[ROOM]}</style>시설이 있지만 <style="AdvisorHighlight">{[STAFF]}</style>에는 <style="AdvisorHighlight">{[QUALIFICATION]}</style>자격.
Advisor/Staff_NeedStaffRoom	우리 직원들은 피곤해졌지만 갈 직원실이 없습니다.
Advisor/Staff_PayDissatisfaction	우리 직원 중 일부는 급여에 만족하지 않습니다. 인상을 주는 것을 고려해야 합니다. 직원 목록에서 급여 검토를 살펴보십시오.
Advisor/Staff_Promoted_CS	<style="AdvisorHighlight">{[NAME]}</style>이 (가) <style="AdvisorHighlight">{[OLDTITLE]}</style>에서 <style="AdvisorHighlight">{[NEWTITLE]}</style>(으)로 승격되었습니다.
Advisor/Staff_ReadyForPromotion	상당수의 직원이 승진할 준비가 되어 있습니다. 그들에게 약간의 관심을 기울이지 않으면 무시 당하게될 것입니다.
Advisor/Staff_ReadyForTraining	상당수의 직원이 교육 가능 슬롯을 가지고 있습니다. 강의실에서 교육하여 잠재력을 극대화하십시오.
Advisor/Staff_ReadyForTrainingNoRoom	상당수의 직원이 교육 가능 슬롯을 가지고 있습니다. 잠재력을 극대화하려면 강의실을 만들어야합니다!
Advisor/Staff_Resignation_CS	<style="AdvisorHighlight">{[STAFF]}</style>는 매우 불행하고 떠나겠다고 위협합니다. 주요 불만 사항은 다음과 같습니다. <style="AdvisorHighlight">{[COMPLAINTS]}</style>.
Advisor/Staff_Resigned_CS	<style="AdvisorHighlight">{[STAFF]}</style>가 사임했습니다! 주요 불만 사항은 다음과 같습니다. <style="AdvisorHighlight">{[COMPLAINTS]}</style>. 나머지 직원들을 행복하게 유지해야 합니다.
Advisor/Staff_RoomNeedsStaff	<style="AdvisorHighlight">{[ROOM]}</style>에는 <style="AdvisorHighlight">{[STAFF]}</style>가 필요합니다. 하나를 얻으려면 고용 메뉴로 이동하십시오.
Advisor/Staff_TooManyAssistants	사무원이 너무 많을 수 있으며 현재 일부는 유휴 상태입니다.
Advisor/Staff_TooManyDoctors	의사가 너무 많을 수도 있고, 현재 일부는 유휴 상태입니다.
Advisor/Staff_TooManyJanitors	관리인이 너무 많을 수 있으며 현재 일부는 유휴 상태입니다.
Advisor/Staff_TooManyNurses	간호사가 너무 많을 수도 있고, 현재 일부는 유휴 상태입니다.
Advisor/Temperature_Cold	카운티의이 부분은 꽤 춥습니다. 사람들을 따뜻하게 유지하려면 라디에이터를 내려 놓아야합니다.
Advisor/Temperature_Hot	카운티의이 부분은 꽤 덥습니다. 사람들이 편안하게 지낼 수 있도록 에어컨을 설치해야 합니다.
Advisor/Tips_FireSafety	알고 계십니까 : 장비가 제대로 유지 관리되지 않으면 화재가 발생할 수 있습니다. 관리인는 소화기를 찾아 불을 꺼야합니다. 그렇지 않으면 장비가 폭발할 수 있습니다!
Advisor/Tips_HospitalAttractiveness	알고 계십니까 : 식물과 장식물을 배치하여 병원을 더욱 매력적으로 만들 수 있습니다. 이는 직원과 환자를 행복하게 유지하는 데 도움이 됩니다.
Advisor/Tips_HospitalHygiene	알고 계십니까 : 위생 수준이 낮으면 환자의 건강이 더 빨리 악화됩니다. 병원을 가능한 한 깨끗하게 유지하고, 화장실에 싱크대가 있는지 확인하고, 손 소독제 디스펜서를 놓습니다.
Advisor/Tips_HospitalPolicy	알고 계십니까 : 개요 화면에서 병원 정책을 조정할 수 있습니다. 병원을 운영할 수 있도록 진단 및 치료 정책과 직원 지침을 설정하십시오.
Advisor/Tips_IllnessList	알고 계십니까 : 왼쪽 하단의 문자 탭에서 발견한 질병 목록을 볼 수 있습니다. 이를 사용하여 각 질병의 치료율과 평판을 확인하십시오.
Advisor/Tips_Item_Copy	알고 계십니까 : 왼쪽 Control 키를 누른 상태에서 병원에서 항목을 클릭하여 항목의 사본을 만들 수 있습니다.
Advisor/Tips_Item_FreePlacement	알고 계십니까 : 항목을 들고있을 때 {[Menu/InputActions/DisableSnap]} 키를 눌러 원하는 각도와 위치에 자유롭게 배치할 수 있습니다.
Advisor/Tips_Item_PickUp	알고 계십니까 : 항목 위에 마우스를 올려 놓고 마우스 왼쪽 버튼을 길게 눌러 항목을 선택할 수 있습니다. 또는 클릭하고 드래그하여 빠르게 선택하세요.
Advisor/Tips_Item_Rotate	알고 계십니까 : 마우스 왼쪽 버튼을 누른 상태에서 왼쪽/오른쪽으로 드래그하여 고정된 항목을 회전할 수 있습니다. 또는 {[Menu/InputActions/RotateItemClockwise]} 및 {[Menu/InputActions/RotateItemAntiClockwise]} 키를 사용합니다.
Advisor/Tips_ItemsList_Filters	알고 계십니까 : 항목 목록에서 메뉴 상단의 '필터'버튼을 사용하여 카테고리별로 항목을 볼 수 있습니다.
Advisor/Tips_Kudosh	알고 계셨습니까? 병원의 별점을 높이고 다른 도전 과제를 완료하여 조직을 위해 Kudosh를 획득하십시오. 그것을 사용하여 새 항목을 잠금 해제하십시오.
Advisor/Tips_Loans	알고 계십니까 : 추가 현금이 필요한 경우 금융 탭에서 대출을 받을 수 있습니다.
Advisor/Tips_MapHospitalTravel	알고 계십니까 :지도를 사용하여 저희 조직 내의 모든 병원으로 돌아갈 수 있습니다. 잠금 해제 한 모든 시설과 도구를 사용할 수 있습니다.
Advisor/Tips_MultiplayerChallenges	알고 계십니까 : <style="AdvisorHighlight">조직 과제</style>에 참여하면 지역에 다른 병원과 경쟁하고 더 많은 보상을 받을 수 있습니다. 오른쪽 상단의 탭을 클릭하여 사용 가능한 도전을 확인합니다.
Advisor/Tips_Needs_Boredom	알고 계십니까 : 환자는 시간이 지남에 따라 지루해집니다. 대기 장소 주변에 흥미로운 물건을 놓아 즐겁게 지내십시오.
Advisor/Tips_Needs_Hunger	알고 계십니까 : 환자와 직원은 시간이 지남에 따라 배가 고파집니다. 병원 주변에 간식을 제공하여 환자를 행복하게합니다.
Advisor/Tips_Needs_Thirst	알고 계십니까 : 환자와 직원은 시간이 지남에 따라 목이 마르게됩니다. 병원 주변에 음료수를 제공하여 환자를 행복하게합니다.
Advisor/Tips_Needs_Toilet	알고 계십니까 : 환자와 직원은 특히 식사 또는 음주 후에 화장실에 접근하기를 원할 것입니다. 사고를 피할 수 있는 충분한 화장실이 있는지 확인하십시오…
Advisor/Tips_OverviewScreen	알고 계십니까 : 재무 탭에서 병원 개요 화면에 액세스할 수 있습니다. 이를 사용하여 병원 재무, 직원, 환자, 상금 등을 분석합니다.
Advisor/Tips_PatientList	알고 계셨습니까? : 문자 탭에서 모든 환자 목록을 볼 수 있습니다. 환자 목록을 사용하여 진단, 치료, 행복 및 건강을 모니터링하십시오.
Advisor/Tips_PlotBuying	알고 계셨습니까? 우리는 확장할 공간을 더 많이 제공하기 위해 새로운 병원 건물을 지을 수 있습니다. 판매할 물건을 보려면 근처의 토지에 마우스를 가져 가세요.
Advisor/Tips_PriceList	알고 계십니까 : 재무 탭에서 청구하는 가격을 조정할 수 있습니다. 진단, 치료 및 기타 수익원에 대한 가격을 높이거나 낮 춥니 다.
Advisor/Tips_QueueManagement	알고 계십니까 : 환자 정보 패널 또는 병실 정보 패널의 대기열 탭을 사용하여 환자를 병실의 대기열에서 위 또는 아래로 이동할 수 있습니다. 건강, 행복 또는 잠재적 소득을 기준으로 환자의 우선 순위를 지정합니다.
Advisor/Tips_Queues	알고 계 셨나요? 시설 위로 마우스를 가져 가서 대기열에있는 사람들을 확인하세요. 각 사람의 대기열 위치가 그 위에 나타납니다. 긴 줄을 주시하십시오.
Advisor/Tips_RoomPrestige	알고 계셨습니까? : 더 큰 시설을 짓고 흥미로운 도구으로 채우면평판을 높일 수 있습니다. 그곳에서 일하는 직원들은 더 행복해질 것이고, 방문하는 환자들도 더 행복해질 것입니다.
Advisor/Tips_Room_AddItems	알고 계십니까 : 시설의 바닥을 클릭 한 다음 항목 버튼을 클릭하여 기존 시설의 항목 목록에 액세스할 수 있습니다.
