Fonts & Materials/ARIAL SDF	
There's a queue outside of X-Ray. Is it worth building another room?	X-Ray 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
"Well done, the <style=""AdvisorHighlight"">Hospital Level</style> has increased.\nKeep expanding to attract more patients and staff."	"축하합니다. <style = ""AdvisorHighlight""> 병원 수준 </ style>이 증가했습니다. \ n 더 많은 환자와 직원을 유치하기 위해 계속 확장하세요."
"<style=""AdvisorHighlight"">{[UNLOCK]}</style> unlocked!"	"<style = ""AdvisorHighlight""> {[UNLOCK]} </ style>이 잠금 해제되었습니다!"
There are a lot of blocked toilets in the hospital and it's starting to become rather unhygienic. You could hire more janitors.	병원에는 막힌 화장실이 많아서 오히려 비위생적이되고 있습니다. 관리인을 더 고용 할 수 있습니다.
"There are a lot of blocked toilets in the hospital. Hire a Janitor, from the Hire menu, and they'll take care of it."	병원에는 막힌 화장실이 많이 있습니다. Hire 메뉴에서 관리인을 고용하면 그들이 처리 해줄 것입니다.
"Our {[ITEM]} needs maintenance. A Janitor will be called to carry out repairs, to make sure it doesn't become a fire hazard."	{[ITEM]}에 유지 보수가 필요합니다. 청소부가 화재 위험이되지 않도록 수리를 수행하도록 요청됩니다.
"Our {[ITEM]} needs maintenance. Hire a Janitor, from the Hire menu, to carry out repairs."	{[ITEM]}에 유지 보수가 필요합니다. 수리를 수행하려면 고용 메뉴에서 청소부를 고용하십시오.
There's a lot of litter around the hospital. You should consider placing more bins.	병원 주변에 쓰레기가 많습니다. 더 많은 저장소를 배치하는 것을 고려해야합니다.
"There's a lot of litter around the hospital. You should consider placing more bins and hiring a Janitor, from the Hire menu, to keep them clean."	병원 주변에 쓰레기가 많습니다. 쓰레기통을 더 많이 배치하고 청소 메뉴에서 청소부를 고용하여 깨끗하게 유지하는 것을 고려해야합니다.
"We can upgrade our <style=""AdvisorHighlight"">{[MACHINE]}</style> to make it more effective. If you select the item and choose to upgrade it, a Janitor trained in {[QUALIFICATION]} can apply the upgrade."	"<style = ""AdvisorHighlight""> {[MACHINE]} </ style>를 업그레이드하여 더 효과적으로 만들 수 있습니다. 아이템을 선택하고 업그레이드를 선택하면 {[QUALIFICATION]}에서 훈련을받은 청소부가 업그레이드를 적용 할 수 있습니다."
There's a lot of 'medical waste' on the floor. Some patients have made complaints. You might need more Janitors to clean it up.	바닥에 '의료 폐기물'이 많이 있습니다. 일부 환자는 불만을 제기했습니다. 청소를 위해 더 많은 수위가 필요할 수 있습니다.
"There's a lot of 'medical waste' on the floor. Some patients have made complaints. You may need to hire Janitors, from the Hire menu, to clean it up."	바닥에 '의료 폐기물'이 많이 있습니다. 일부 환자는 불만을 제기했습니다. 청소를 위해 고용 메뉴에서 청소부를 고용해야 할 수도 있습니다.
Several of our vending machines are out of stock. You could hire more janitors to keep them well stocked.	일부 자판기는 재고가 없습니다. 관리인을 더 고용하여 잘 보관할 수 있습니다.
"Several of our vending machines are out of stock. You can hire a Janitor, from the Hire menu, to take care of it."	일부 자판기는 재고가 없습니다. 고용 메뉴에서 관리인을 고용하여 처리 할 수 ??있습니다.
Quite a few plants are wilting and it's making the patients miserable. Try hiring more janitors to keep them watered.	꽤 많은 식물이 시들어 환자를 비참하게 만듭니다. 더 많은 수위를 고용하여 물을 유지하십시오.
"Quite a few plants are looking limp and it's making the patients miserable. You can hire a Janitor, from the Hire menu, to keep them watered."	꽤 많은 식물이 절뚝 거려서 환자를 비참하게 만듭니다. 고용 메뉴에서 청소부를 고용하여 물을 계속받을 수 있습니다.
"Marketing Campaign Completed: <style=""AdvisorHighlight"">{[CAMPAIGN]}</style>"	"완료된 마케팅 캠페인 : <style = ""AdvisorHighlight""> {[CAMPAIGN]} </ style>"
{[NAME]} is unable to get to where they want to be. You might need to rearrange things to unblock the route.	{[NAME]} 님이 원하는 곳으로 이동할 수 없습니다. 경로 차단을 해제하려면 항목을 재정렬해야 할 수 있습니다.
{[NAME]} is unable to get to where they want to be ({[DEST]}). You might need to rearrange things to unblock the route.	{[NAME]}이 원하는 위치 ({[DEST]})로 이동할 수 없습니다. 경로 차단을 해제하려면 항목을 재정렬해야 할 수 있습니다.
"Good news, we've cured <style=""AdvisorHighlight"">10</style> patients in total! Each cure boosts our <style=""AdvisorHighlight"">Reputation</style>, which will attract even more patients to the hospital."	"좋은 소식입니다. 총 <style = ""AdvisorHighlight""> 10 </ style> 명의 환자를 치료했습니다. 각 치료법은 <style = ""AdvisorHighlight""> 평판 </ style>을 높여 더 많은 환자를 병원으로 유치 할 것입니다."
"Good news, we've cured <style=""AdvisorHighlight"">100</style> patients in total! Each cure boosts our <style=""AdvisorHighlight"">Reputation</style>, which will attract even more patients to the hospital."	"좋은 소식입니다. 총 <style = ""AdvisorHighlight""> 100 </ style> 명의 환자를 치료했습니다! 각 치료법은 <style = ""AdvisorHighlight""> 평판 </ style>을 높여 더 많은 환자를 병원으로 유치 할 것입니다."
"Good news, we've cured <style=""AdvisorHighlight"">20</style> patients in total! Each cure boosts our <style=""AdvisorHighlight"">Reputation</style>, which will attract even more patients to the hospital."	"좋은 소식입니다. 총 <style = ""AdvisorHighlight""> 20 </ style> 명의 환자를 치료했습니다. 각 치료법은 <style = ""AdvisorHighlight""> 평판 </ style>을 높여 더 많은 환자를 병원으로 유치 할 것입니다."
"Good news, we've cured <style=""AdvisorHighlight"">5</style> patients in total! Each cure boosts our <style=""AdvisorHighlight"">Reputation</style>, which will attract even more patients to the hospital."	"좋은 소식입니다. 총 <style = ""AdvisorHighlight""> 5 </ style> 명의 환자를 치료했습니다. 각 치료법은 <style = ""AdvisorHighlight""> 평판 </ style>을 높여 더 많은 환자를 병원으로 유치 할 것입니다."
"Good news, we've cured <style=""AdvisorHighlight"">50</style> patients in total! Each cure boosts our <style=""AdvisorHighlight"">Reputation</style>, which will attract even more patients to the hospital."	"좋은 소식입니다. 총 <style = ""AdvisorHighlight""> 50 </ style> 환자를 치료했습니다. 각 치료법은 <style = ""AdvisorHighlight""> 평판 </ style>을 높여 더 많은 환자를 병원으로 유치 할 것입니다."
"Our doctors have diagnosed a patient with <style=""AdvisorHighlight"">{[ILLNESS]}</style>, but it requires a <style=""AdvisorHighlight"">{[ROOM]}</style> for treatment. You should consider building one."	"의사가 <style = ""AdvisorHighlight""> {[ILLNESS]} </ style>로 환자를 진단했지만 치료를 위해서는 <style = ""AdvisorHighlight""> {[ROOM]} </ style>가 필요합니다. 하나를 만드는 것을 고려해야합니다."
Some of our patients are really hungry. Consider buying vending machines or adding kiosks.	우리 환자 중 일부는 정말 배고프다. 자판기 구입이나 키오스크 추가를 고려하십시오.
Some of our patients are dirtier than they'd like. We should really try to keep the hospital less filthy. You could also consider adding sinks or placing sanitiser dispensers.	우리 환자 중 일부는 원하는 것보다 더럽습니다. 병원을 덜 더럽게 유지하려고 정말 노력해야합니다. 싱크대를 추가하거나 소독제 디스펜서를 배치하는 것도 고려할 수 있습니다.
Some of our patients are disgusted with the state of the hospital. Think about making it a nicer environment.	우리 환자 중 일부는 병원 상태에 혐오감을 느낍니다. 더 좋은 환경을 만드는 것에 대해 생각하십시오.
Some of our patients are really bored. Consider providing them with some entertainment.	우리 환자 중 일부는 정말 지루합니다. 그들에게 약간의 오락을 제공하는 것을 고려하십시오.
"We need a <style=""AdvisorHighlight"">GP's Office</style> to be able to diagnose patients."	"환자를 진단하려면 <style = ""AdvisorHighlight""> GP 사무실 </ style>이 필요합니다."
Some of our patients are getting bad tempered. We should really try to make them happier.	우리 환자 중 일부는 성질이 나 빠지고 있습니다. 우리는 그들을 더 행복하게해주어야합니다.
Some of our patients are looking a bit ropey. We need to get them seen faster.	우리 환자 중 일부는 약간 밧줄처럼 보입니다. 우리는 그들을 더 빨리 볼 필요가 있습니다.
Our doctors have exhausted all the forms of diagnosis available for a patient. We need to build other diagnosis rooms.	저희 의사들은 환자가 이용할 수있는 모든 형태의 진단을 다했습니다. 다른 진단실을 만들어야합니다.
Some of our patients are being forced to stand whilst they are waiting. I'm sure they'd appreciate somewhere to sit.	환자 중 일부는 기다리는 동안 강제로 서 있습니다. 나는 그들이 앉을 곳을 고맙게 생각할 것이라고 확신합니다.
Some of our patients are freezing. You could consider buying more radiators.	우리 환자 중 일부는 얼어 있습니다. 더 많은 라디에이터 구입을 고려할 수 있습니다.
Some of our patients are desperate for the loo. Help them out and build more toilets.	우리 환자 중 일부는 화장실이 필사적입니다. 그들을 도와 더 많은 화장실을 지으십시오.
Some of our patients are boiling hot. You could consider adding more air conditioning.	우리 환자 중 일부는 뜨겁게 끓고 있습니다. 더 많은 에어컨 추가를 고려할 수 있습니다.
A patient has died in the hospital.	환자가 병원에서 사망했습니다.
"A patient is dying after a failed treatment in our <style=""AdvisorHighlight"">{[ROOM]}</style>. The diagnosis certainty was only <style=""AdvisorHighlight"">{[DIAGNOSIS]}</style>, which will have reduced the chances of success."	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에서 치료 실패 후 환자가 사망하고 있습니다. 진단의 확실성은 <style = ""AdvisorHighlight""> {[DIAGNOSIS]} </ style>에 불과하여 성공 가능성을 줄였습니다."
"A patient is leaving after treatment was ineffective in our <style=""AdvisorHighlight"">{[ROOM]}</style>. The diagnosis certainty was only <style=""AdvisorHighlight"">{[DIAGNOSIS]}</style>, which will have reduced the chances of success."	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에서 치료가 효과가 없었던 환자가 퇴원하고 있습니다. 진단의 확실성은 <style = ""AdvisorHighlight""> {[DIAGNOSIS]} </ style>에 불과하여 성공 가능성을 줄였습니다."
"A patient has died due to deteriorating health. Keep an eye on hygiene levels, if they are low this can cause health to deteriorate faster."	환자가 건강 악화로 사망했습니다. 위생 수준이 낮 으면 건강이 더 빨리 악화 될 수 있습니다.
"A patient has died due to deteriorating health. This is bad for our reputation. Try to get people seen quicker. Keep queues short, or move unhealthy people to the front of the queue."	환자가 건강 악화로 사망했습니다. 이것은 우리의 평판에 좋지 않습니다. 사람들을 더 빨리 볼 수 있도록 노력하십시오. 대기열을 짧게 유지하거나 건강에 해로운 사람들을 대기열의 맨 앞으로 이동하십시오.
"A patient is dying after treatment failed in our <style=""AdvisorHighlight"">{[ROOM]}</style>. Keep improving staff and equipment to increase the chances of successfully curing people."	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에서 치료가 실패한 후 환자가 사망하고 있습니다. 사람들을 성공적으로 치료할 가능성을 높이기 위해 직원과 장비를 계속 개선하십시오."
"A patient is leaving after treatment was ineffective in our <style=""AdvisorHighlight"">{[ROOM]}</style>. Keep improving staff and equipment to increase the chances of successfully curing people."	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에서 치료가 효과가 없었던 환자가 퇴원하고 있습니다. 사람들을 성공적으로 치료할 가능성을 높이기 위해 직원과 장비를 계속 개선하십시오."
"A patient is dying after a failed treatment in our <style=""AdvisorHighlight"">{[ROOM]}</style>. Maybe <style=""AdvisorHighlight"">{[STAFF]}</style> needs more training to increase their treatment skill?"	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에서 치료 실패 후 환자가 사망하고 있습니다. <style = ""AdvisorHighlight""> {[STAFF]} </ style>가 치료 기술을 향상시키기 위해 더 많은 교육이 필요합니까?"
"A patient is leaving after treatment was ineffective in our <style=""AdvisorHighlight"">{[ROOM]}</style>. Maybe <style=""AdvisorHighlight"">{[STAFF]}</style> needs more training to increase their treatment skill?"	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에서 치료가 효과가 없었던 환자가 퇴원하고 있습니다. <style = ""AdvisorHighlight""> {[STAFF]} </ style>가 치료 기술을 향상시키기 위해 더 많은 교육이 필요합니까?"
"A patient is dying after a failed treatment in our <style=""AdvisorHighlight"">{[ROOM]}</style>. Maybe our <style=""AdvisorHighlight"">{[MACHINE]}</style> could be upgraded to make it more effective?"	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에서 치료 실패 후 환자가 사망하고 있습니다. <style = ""AdvisorHighlight""> {[MACHINE]} </ style>를 업그레이드하여 더 효과적으로 만들 수 있을까요?"
"A patient is leaving after treatment was ineffective in our <style=""AdvisorHighlight"">{[ROOM]}</style>. Maybe our <style=""AdvisorHighlight"">{[MACHINE]}</style> could be upgraded to make it more effective?"	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에서 치료가 효과가 없었던 환자가 퇴원하고 있습니다. <style = ""AdvisorHighlight""> {[MACHINE]} </ style>를 업그레이드하여 더 효과적으로 만들 수 있을까요?"
A patient has had enough of the way you are running the hospital and has stormed out.	환자는 당신이 병원을 운영하는 데 충분한 방법을 가지고 있었고 습격했습니다.
"A patient has given up waiting for <style=""AdvisorHighlight"">new diagnosis rooms</style>, and is storming out. This will be bad for our reputation."	"한 환자가 <style = ""AdvisorHighlight""> 새 진단실 </ style>을 기다리는 것을 포기하고 돌진하고 있습니다. 이것은 우리의 평판에 좋지 않을 것입니다."
waiting too long	너무 오래 기다리다
"A patient is unhappy with the hospital and is storming out. Their top complaints include: <style=""AdvisorHighlight"">{[COMPLAINTS]}</style>. They were in the hospital for <style=""AdvisorHighlight"">{[DAYS]} days</style>."	"한 환자가 병원에 ??만족하지 못하고 뛰쳐 나가고 있습니다. 주요 불만 사항은 다음과 같습니다. <style = ""AdvisorHighlight""> {[COMPLAINTS]} </ style>. <style = ""AdvisorHighlight""> {[DAYS]} 일 </ style> 동안 병원에있었습니다."
"A patient has given up waiting for a <style=""AdvisorHighlight"">{[ROOM]}</style>, and is storming out. This will be bad for our reputation."	"환자가 <style = ""AdvisorHighlight""> {[ROOM]} </ style>를 기다리는 것을 포기하고 돌진하고 있습니다. 이것은 우리의 평판에 좋지 않을 것입니다."
Some of our patients are thirsty. You could consider buying some vending machines or adding kiosks.	우리 환자 중 일부는 목이 마릅니다. 자판기 구입이나 키오스크 추가를 고려할 수 있습니다.
"We need a <style=""AdvisorHighlight"">Reception</style> so that visitors can check in."	"방문자가 체크인 할 수 있도록 <style = ""AdvisorHighlight""> 접수 </ style>가 필요합니다."
"<style=""AdvisorHighlight"">Hogsport</style>, <style=""AdvisorHighlight"">Lower Bullocks</style> and <style=""AdvisorHighlight"">Flottering</style> are now available in <style=""AdvisorHighlight"">R.E.M.I. X</style>!"	"<style = ""AdvisorHighlight""> Hogsport </ style>, <style = ""AdvisorHighlight""> Lower Bullocks </ style> 및 <style = ""AdvisorHighlight""> 플로팅 </ style>은 이제 <style = ""AdvisorHighlight"">에서 사용할 수 있습니다. REMI X </ style>!"
"<style=""AdvisorHighlight"">Mitton University</style>, <style=""AdvisorHighlight"">Tumble</style> and <style=""AdvisorHighlight"">Flemington</style> are now available in <style=""AdvisorHighlight"">R.E.M.I. X</style>!"	"<style = ""AdvisorHighlight""> Mitton University </ style>, <style = ""AdvisorHighlight""> Tumble </ style> 및 <style = ""AdvisorHighlight""> Flemington </ style>을 이제 <style = ""AdvisorHighlight"">에서 사용할 수 있습니다. REMI X </ style>!"
"<style=""AdvisorHighlight"">Hospital Reputation</style> is now <style=""AdvisorHighlight"">Good</style>. This will attract even more patients and staff."	"<style = ""AdvisorHighlight""> 병원 평판 </ style>은 이제 <style = ""AdvisorHighlight""> 좋은 </ style>입니다. 이것은 더 많은 환자와 직원을 끌어들일 것입니다."
"<style=""AdvisorHighlight"">Hospital Reputation</style> is now <style=""AdvisorHighlight"">Great</style>. This will attract even more patients and staff."	"<style = ""AdvisorHighlight""> 병원 평판 </ style>이 이제 <style = ""AdvisorHighlight""> 훌륭한 </ style>입니다. 이것은 더 많은 환자와 직원을 끌어들일 것입니다."
"Research Project Completed: <style=""AdvisorHighlight"">{[PROJECT]}</style>\nOutput: <style=""AdvisorHighlight"">{[REWARDS]}</style>"	"완료된 연구 프로젝트 : <style = ""AdvisorHighlight""> {[PROJECT]} </ style> \ n 출력 : <style = ""AdvisorHighlight""> {[REWARDS]} </ style>"
"Researching new diagnosis machines and upgrades will help us diagnose patients faster. This will help to reduce queue sizes and waiting times, which should improve cure rates."	새로운 진단 기계를 연구하고 업그레이드하면 환자를 더 빨리 진단 할 수 있습니다. 이렇게하면 대기열 크기와 대기 시간을 줄이는 데 도움이되며 치료율이 향상됩니다.
"Our <style=""AdvisorHighlight"">{[ROOM]}</style> is missing a <style=""AdvisorHighlight"">{[ITEM]}</style>. It won't function without one."	"<style = ""AdvisorHighlight""> {[ROOM]} </ style>에 <style = ""AdvisorHighlight""> {[ITEM]} </ style>이 없습니다. 하나 없이는 작동하지 않습니다."
The room is not big enough for the required items yet. Extend the room to meet the minimum size requirements.	방은 아직 필요한 항목을 담기에 충분하지 않습니다. 최소 크기 요구 사항을 충족하도록 공간을 확장합니다.
"<style=""AdvisorHighlight"">Sandbox: Freeplay</style> unlocked! Create hospitals with your own custom settings. Access sandbox mode from the main menu."	"<style = ""AdvisorHighlight""> 샌드 박스 : 프리 플레이 </ style> 잠금 해제! 나만의 맞춤 설정으로 병원을 만드세요. 기본 메뉴에서 샌드 박스 모드에 액세스합니다."
A rival hospital owned by {0} has {1} of {2}. Ours is currently only {3}.	{0} 소유의 경쟁 병원은 {2} 개 중 {1} 개를 보유하고 있습니다. 현재는 {3}입니다.
"Our hospital has {1} of {3}. That is way better than {0}'s hospital, which is only {2}!"	저희 병원은 {1} / {3}입니다. {2}에 불과한 {0}의 병원보다 훨씬 낫습니다!
Advisor_Social_LeaderboardBoast	Advisor_Social_LeaderboardBoast
"We've just taken a look at our {1}. Apparently {0}, our online rival has the highest score {2}. Our score is only {3}. We should be more like them."	"{1}를 방금 살펴 보았습니다. 분명히 {0}, 우리의 온라인 라이벌이 가장 높은 점수를 받았습니다 {2}. 우리의 점수는 {3}입니다. 우리는 그들과 더 비슷해야합니다."
"This is great! Compared to our online rivals, our hospital has the highest {0} with a score of {1}!"	대단합니다! 온라인 라이벌에 비해 저희 병원은 {1} 점으로 가장 높은 {0} 점을 기록했습니다!
"A lot of patients are queueing for services run by Assistants, but there aren't any available. Consider hiring more assistants."	많은 환자가 어시스턴트가 운영하는 서비스를 위해 대기하고 있지만 사용할 수있는 서비스가 없습니다. 더 많은 비서 고용을 고려하십시오.
"A lot of patients are queueing outside rooms that are run by Doctors, but there aren't any available. Consider hiring more doctors."	많은 환자가 의사가 운영하는 방 밖에서 대기하고 있지만 사용할 수있는 방이 없습니다. 더 많은 의사를 고용하십시오.
"A lot of patients are queueing outside rooms that are run by Nurses, but there aren't any available. Consider hiring more nurses."	많은 환자가 간호사가 운영하는 방 밖에서 대기하고 있지만 사용할 수있는 방이 없습니다. 더 많은 간호사를 고용하십시오.
Our staff have quite low morale. You could consider paying them more or letting them go on more breaks.	우리 직원들은 사기가 매우 낮습니다. 그들에게 더 많은 돈을 지불하거나 더 많은 휴식을 취하도록 할 수 있습니다.
"We have a <style=""AdvisorHighlight"">{[ROOM]}</style> room but we don't have a <style=""AdvisorHighlight"">{[STAFF]}</style> with the <style=""AdvisorHighlight"">{[QUALIFICATION]}</style> qualification."	"<style = ""AdvisorHighlight""> {[ROOM]} </ style> 회의실이 있지만 <style = ""AdvisorHighlight""> {[STAFF]} </ style>에는 <style = ""AdvisorHighlight ""> {[QUALIFICATION]} </ style> 자격."
